Month,Day,Hour,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
January,2,11,7.475006,11.037506,15.287506,11.662506,8.537506,8.236481,9.350006,11.662506,9.037506,9.662506,8.787506,13.787506,11.975006,11.162506,8.725006,11.787506,7.162506,10.725006,6.975006,11.100006,5.350006,8.537506,10.287506,11.850006
January,2,12,7.287506,11.037506,15.287506,11.662506,8.412506,7.924774,9.100006,11.537506,8.975006,9.850006,8.787506,13.850006,11.662506,11.037506,8.537506,11.662506,7.537506,10.350006,7.287506,10.475006,5.100006,8.162506,10.225006,11.537506
January,2,13,7.225006,11.100006,15.412506,11.787506,8.350006,7.839325,8.850006,11.100006,8.975006,10.037506,8.912506,13.912506,11.412506,10.662506,8.287506,11.287506,7.600006,10.100006,7.162506,10.412506,4.787506,7.787506,10.037506,11.600006
January,2,14,7.100006,11.287506,15.412506,11.975006,8.287506,7.874695,8.662506,11.350006,8.975006,10.162506,8.975006,13.725006,11.225006,10.037506,8.537506,11.162506,7.912506,10.037506,7.412506,10.225006,4.725006,7.600006,10.100006,11.787506
January,2,15,8.475006,12.100006,15.787506,13.287506,9.100006,9.382751,10.100006,12.350006,9.787506,10.975006,9.037506,13.537506,11.537506,9.600006,8.600006,10.037506,8.475006,9.912506,7.225006,9.662506,4.162506,7.850006,10.225006,12.662506
January,2,16,8.787506,12.787506,15.787506,13.850006,10.912506,9.975372,11.912506,12.850006,11.287506,10.912506,9.162506,13.725006,11.662506,9.850006,8.912506,11.037506,8.600006,11.225006,8.412506,11.100006,5.100006,8.225006,10.475006,13.225006
January,2,17,10.662506,14.850006,15.662506,13.850006,13.600006,11.16275,15.037506,13.350006,12.975006,10.662506,9.475006,13.350006,14.850006,13.350006,10.162506,14.225006,8.975006,13.787506,11.287506,14.912506,7.287506,10.412506,10.850006,13.850006
January,2,18,12.037506,17.225006,15.912506,13.912506,15.537506,11.868866,16.912506,13.162506,14.600006,10.850006,9.912506,13.225006,17.350006,15.537506,10.787506,16.412506,9.662506,16.475006,13.100006,18.162506,9.975006,12.725006,11.475006,16.475006
January,2,19,12.787506,18.162506,16.162506,14.287506,17.037506,12.251038,18.225006,13.350006,15.600006,10.850006,10.412506,13.475006,18.725006,17.662506,11.100006,18.475006,9.600006,19.225006,14.287506,20.537506,11.662506,14.662506,11.787506,19.100006
January,2,20,13.350006,18.725006,16.100006,14.287506,18.100006,12.567444,19.787506,13.912506,16.225006,10.787506,11.100006,13.912506,19.850006,18.600006,12.162506,19.537506,9.100006,21.475006,14.787506,21.350006,12.975006,15.975006,11.975006,20.725006
January,2,21,14.850006,20.100006,16.162506,14.537506,22.037506,14.027618,23.100006,14.787506,18.975006,11.662506,11.912506,14.225006,21.287506,19.475006,13.162506,21.162506,8.912506,23.787506,16.162506,22.350006,13.975006,17.162506,12.350006,21.600006
January,2,22,14.787506,21.037506,15.787506,14.662506,19.725006,13.43515,22.225006,14.225006,18.975006,10.475006,11.725006,13.912506,20.787506,19.475006,11.350006,22.100006,9.600006,22.600006,17.100006,22.662506,14.162506,17.162506,12.412506,21.725006
January,2,23,14.412506,20.287506,15.412506,14.600006,19.662506,13.410034,22.225006,13.850006,19.162506,10.787506,11.912506,14.037506,20.850006,18.975006,10.975006,21.725006,9.537506,23.412506,17.100006,22.412506,14.162506,16.975006,12.287506,21.537506
January,3,0,14.225006,19.475006,15.475006,14.475006,18.412506,13.388824,22.162506,13.725006,18.975006,11.225006,11.662506,13.475006,20.537506,18.787506,11.225006,21.225006,9.225006,22.037506,16.475006,21.912506,13.600006,16.350006,12.162506,20.350006
